No,Desa/Kelurahan,Kecamatan,Luas total area,Jarak ke ibu kota kecamatan ,Jarak ke ibu kota kabupaten ,Akomodasi. hotel. homestay,Restourant/Tempat makan,Jenis prasarana trasportasi,Jenis permukaan  jalan darat,Jumlah Menara Telepon Seluler,Media Online,Pantai/Danau,Failitas,Harga Tiket,Rating,Wisman,Wisnus
70,Pakaandaya,Galis,1,3,28,0,1,1,1,0,0,0,0,0,0,0,0
71,Longkek,Galis,5,3,27,0,0,1,1,3,0,0,0,0,0,0,0
72,Banyubunih,Galis,9,3,25,0,1,1,1,0,1,1,4,2000,3,0,1217
73,Daleman,Galis,7,5,36,0,0,1,1,2,1,1,2,5000,4,0,979
74,Tellok,Galis,9,9,36,0,0,1,1,0,0,0,0,0,0,0,0
75,Belateran,Galis,2,9,38,0,0,1,1,0,0,0,0,0,0,0,0
76,Kelbung,Galis,12,12,37,0,0,1,1,1,0,0,0,0,0,0,0
77,Telagah,Galis,7,11,33,0,0,1,1,1,0,0,0,0,0,0,0
78,Lantek Temor,Galis,5,6,27,0,0,1,1,1,0,0,0,0,0,0,0
79,Lantek Barat,Galis,9,7,32,0,1,1,1,2,0,0,0,0,0,0,0
80,Banjar,Galis,10,11,30,0,0,1,1,0,0,0,0,0,0,0,0
81,Bangpendah,Galis,2,9,34,0,0,1,1,0,0,0,0,0,0,0,0
82,Sadah,Galis,4,14,28,0,0,1,1,2,0,0,0,0,0,0,0
83,Sorpa,Galis,1,15,30,0,0,1,1,0,0,0,0,0,0,0,0
84,Togubang,Geger,12,2,38,0,0,1,1,0,0,0,0,0,0,0,0
85,Lerpak,Geger,14,21,45,0,0,1,2,1,0,0,0,0,0,0,0
86,Geger,Geger,17,10,39,0,0,1,1,2,1,2,2,10000,4,0,3236
87,Batobella,Geger,8,5,24,0,0,1,1,1,0,0,0,0,0,0,0
88,Tegerpriyah,Geger,3,4,24,0,0,1,1,0,0,0,0,0,0,0,0
89,Campor,Geger,6,1,17,0,0,1,1,1,0,0,0,0,0,0,0
90,Kompol,Geger,4,2,25,0,0,1,1,0,0,0,0,0,0,0,0
91,Kampak,Geger,10,3,27,0,0,1,1,1,0,0,0,0,0,0,0
92,Kombangan,Geger,11,5,35,0,0,1,1,4,0,0,0,0,0,0,0
93,Dabung,Geger,10,14,30,0,0,1,2,1,0,0,0,0,0,0,0
94,Katol Barat,Geger,7,8,45,0,0,1,1,0,0,0,0,0,0,0,0
95,Banyoneng Laok,Geger,45393,9,45,0,0,1,1,1,0,0,0,0,0,0,0
96,Banyoneng Dajah,Geger,5,7,35,0,0,1,1,0,0,0,0,0,0,0,0
97,Tajungan,Kamal,0,2,18,0,0,1,1,0,0,0,0,0,0,0,0
98,Gili Barat,Kamal,4,1,18,0,0,1,1,2,0,0,0,0,0,0,0
99,Banyu Ajuh,Kamal,45600,1,18,0,2,1,1,4,0,0,0,0,0,0,0
100,Kamal,Kamal,1,3,18,1,2,1,1,3,1,1,4,15000,4,0,2301
101,Tanjung Jati,Kamal,0,3,18,0,1,1,1,1,0,0,0,0,0,0,0
102,Kebun,Kamal,3,2,18,0,0,1,1,2,0,0,0,0,0,0,0
103,Gili Timur,Kamal,7,1,12,0,0,1,1,3,1,1,1,7000,4,0,2301
104,Gili Anyar,Kamal,2,1,17,0,0,1,1,0,0,0,0,0,0,0,0
105,Tellang,Kamal,9,5,10,0,1,1,1,4,0,0,0,0,0,0,0
106,Pendabah,Kamal,7,7,10,0,0,1,1,1,0,0,0,0,0,0,0
107,Tolbuk,Klampis,1,6,16,0,0,1,1,0,0,0,0,0,0,0,0
108,Ra'As,Klampis,0,5,13,0,0,1,1,1,0,0,0,0,0,0,0
109,Muarah,Klampis,3,6,12,0,0,1,1,1,0,0,0,0,0,0,0
110,Polongan,Klampis,1,4,20,0,0,1,1,1,0,0,0,0,0,0,0
111,Karang Asem,Klampis,45413,3,20,0,0,1,1,1,0,0,0,0,0,0,0
112,Bantean,Klampis,45328,7,19,0,0,1,1,1,0,0,0,0,0,0,0
113,Bragang,Klampis,45480,6,30,0,0,1,1,3,0,0,0,0,0,0,0
114,Lergunong,Klampis,4,6,31,0,0,1,1,2,0,0,0,0,0,0,0
115,Panyaksagan,Klampis,5,4,33,0,0,1,1,1,0,0,0,0,0,0,0
116,Larangan Glintong,Klampis,5,1,27,0,0,1,1,3,0,0,0,0,0,0,0
117,Manonggal,Klampis,3,4,33,0,0,1,1,2,0,0,0,0,0,0,0
118,Larangan Sorjan,Klampis,1,3,27,0,0,1,1,4,0,0,0,0,0,0,0
119,Tenggun Daya,Klampis,4,3,25,0,0,1,1,4,0,0,0,0,0,0,0
120,Bulung,Klampis,7,7,17,0,0,1,1,2,0,0,0,0,0,0,0
121,Trogan,Klampis,1,3,15,0,0,1,1,1,0,0,0,0,0,0,0
122,Ko'ol,Klampis,1,5,15,0,0,1,1,1,0,0,0,0,0,0,0
123,Tobaddung,Klampis,1,7,21,0,0,1,1,2,0,0,0,0,0,0,0
124,Mrandung,Klampis,2,3,13,0,0,1,1,1,0,0,0,0,0,0,0
125,Buluk Agung,Klampis,5,2,17,0,0,1,1,3,0,0,0,0,0,0,0
126,Bator,Klampis,2,1,25,0,5,1,1,2,1,1,3,2000,3,0,1892
127,Klampis Barat,Klampis,0,1,18,0,1,1,1,0,0,0,0,0,0,0,0
128,Klampis Timur,Klampis,0,1,24,0,0,1,1,0,0,0,0,0,0,0,0
129,Lembung Gunung,Kokop,4,8,52,0,0,1,1,0,0,0,0,0,0,0,0
130,Ampara'an,Kokop,5,10,60,0,0,1,1,0,0,0,0,0,0,0,0
131,Kokop,Kokop,8,9,59,0,0,1,1,0,0,0,0,0,0,0,0
132,Tlokoh,Kokop,13,14,64,0,0,1,1,1,0,0,0,0,0,0,0
133,Durjan,Kokop,18,23,73,0,0,1,1,1,1,1,3,7000,3,0,969
134,Mano'An,Kokop,9,17,52,0,0,1,1,3,0,0,0,0,0,0,0
135,Mandung,Kokop,13,14,64,0,0,1,1,3,0,0,0,0,0,0,0
136,Bandang Laok,Kokop,12,4,54,0,0,1,1,0,0,0,0,0,0,0,0
137,Tramok,Kokop,45301,5,55,0,0,1,1,1,0,0,0,0,0,0,0
138,Katol Timur,Kokop,11,7,57,0,0,1,1,1,0,0,0,0,0,0,0
139,Banda Soleh,Kokop,4,2,52,0,0,1,1,0,0,0,0,0,0,0,0
140,Dupok,Kokop,10,1,50,0,0,1,1,3,0,0,0,0,0,0,0
141,Batokorogan,Kokop,3,4,50,0,0,1,1,0,0,0,0,0,0,0,0
142,Galis Daya,Konang,3,14,36,0,0,1,1,0,0,0,0,0,0,0,0
143,Durin Barat,Konang,6,12,42,0,0,1,1,0,0,0,0,0,0,0,0
144,Kanegarah,Konang,45324,14,38,0,0,1,1,0,0,0,0,0,0,0,0
145,Batokaban,Konang,45546,20,48,0,0,1,1,1,0,0,0,0,0,0,0
146,Durin Timur,Konang,20,10,36,0,0,1,1,2,0,0,0,0,0,0,0
147,Pakes,Konang,5,3,40,0,0,1,1,1,0,0,0,0,0,0,0
148,Bandung,Konang,6,1,56,0,0,1,1,2,0,0,0,0,0,0,0
149,Konang,Konang,7,1,47,0,0,1,1,0,0,0,0,0,0,0,0
150,Senasen,Konang,4,5,60,0,0,1,1,0,0,0,0,0,0,0,0
151,Campor,Konang,1,4,50,0,0,1,1,2,0,0,0,0,0,0,0
152,Sambiyan,Konang,45415,8,57,0,0,1,1,0,0,0,0,0,0,0,0
153,Cangkarman,Konang,5,13,59,0,0,1,1,1,0,0,0,0,0,0,0
154,Genteng,Konang,13,8,59,0,0,1,1,1,1,1,2,10000,3,0,2301
155,Tebul,Kwanyar,2,5,19,0,0,1,1,1,0,0,0,0,0,0,0
156,Kwanyar Barat,Kwanyar,2,1,22,0,0,1,1,0,1,1,4,20000,3,0,1538
157,Pasanggrahan,Kwanyar,3,1,23,0,0,1,1,1,0,0,0,0,0,0,0
158,Karanganyar,Kwanyar,1,4,18,0,0,1,1,0,0,0,0,0,0,0,0
159,Batah Barat,Kwanyar,1,6,22,0,0,1,1,2,0,0,0,0,0,0,0
160,Batah Timur,Kwanyar,3,6,2,0,0,1,1,0,0,0,0,0,0,0,0
161,Duwek Buter,Kwanyar,3,6,27,0,0,1,1,2,0,0,0,0,0,0,0
162,Pandanan,Kwanyar,2,6,25,0,0,1,1,1,0,0,0,0,0,0,0
163,Karang Entang,Kwanyar,2,4,17,0,0,1,1,1,0,0,0,0,0,0,0
164,Janteh,Kwanyar,4,2,21,0,0,1,1,0,0,0,0,0,0,0,0
165,Dlemer,Kwanyar,2,1,25,0,0,1,1,1,0,0,0,0,0,0,0
166,Ketetang,Kwanyar,3,1,23,0,0,1,1,2,1,2,3,2000,3,0,1558
167,Morombuh,Kwanyar,2,3,25,0,0,1,1,1,0,0,0,0,0,0,0
168,Sumur Kuning,Kwanyar,4,3,25,0,0,1,1,1,0,0,0,0,0,0,0
169,Paoran,Kwanyar,3,5,25,0,0,1,1,0,0,0,0,0,0,0,0
170,Gunung Sereng,Kwanyar,3,8,25,0,0,1,1,1,0,0,0,0,0,0,0
171,Kesek,Labang,1,2,22,0,0,1,1,1,0,0,0,0,0,0,0
172,Pangpong,Labang,2,4,21,0,0,1,1,0,0,0,0,0,0,0,0
173,Sukolilo Barat,Labang,1,1,20,0,0,1,1,0,0,0,0,0,0,0,0
174,Sukolilo Timur,Labang,2,1,21,0,0,1,1,2,0,0,0,0,0,0,0
175,Bunajih,Labang,4,1,22,0,0,1,1,0,0,0,0,0,0,0,0
176,Bringin,Labang,2,3,23,0,0,1,1,1,0,0,0,0,0,0,0
177,Ba'Engas,Labang,3,2,20,0,0,1,1,1,0,0,0,0,0,0,0
178,Morkepek,Labang,2,3,18,0,1,1,1,1,1,1,4,30000,4,0,969
179,Labang,Labang,1,3,20,0,10,3,1,1,0,0,0,0,0,0,0
180,Jukong,Labang,3,5,18,0,0,1,1,0,0,0,0,0,0,0,0
181,Sendang Laok,Labang,2,6,19,0,0,1,1,1,0,0,0,0,0,0,0
182,Sendang Daya,Labang,45355,7,18,0,0,1,1,0,0,0,0,0,0,0,0
183,Petapan,Labang,1,8,18,0,0,1,1,2,0,0,0,0,0,0,0
184,Pangpajung,Modung,4,3,35,0,0,1,1,0,0,0,0,0,0,0,0
185,Patereman,Modung,2,1,40,0,1,1,1,2,0,0,0,0,0,0,0
186,Kolla,Modung,5,4,44,0,0,1,1,0,0,0,0,0,0,0,0
187,Paeng,Modung,2,5,43,0,0,1,1,2,0,0,0,0,0,0,0
188,Neroh,Modung,45629,5,35,0,0,1,1,1,0,0,0,0,0,0,0
189,Serabi Timur,Modung,5,3,42,0,0,1,1,0,0,0,0,0,0,0,0
190,Serabi Barat,Modung,7,5,30,0,0,1,1,1,0,0,0,0,0,0,0
191,Patengteng,Modung,45395,5,40,0,0,1,1,1,0,0,0,0,0,0,0
192,Langpanggang,Modung,2,8,115,0,0,1,1,1,0,0,0,0,0,0,0
193,Suwaan,Modung,4,10,35,0,0,1,1,1,0,0,0,0,0,0,0
194,Modung,Modung,3,10,25,0,0,1,1,2,0,0,0,0,0,0,0
195,Brakas Dajah,Modung,3,13,26,0,0,1,1,0,0,0,0,0,0,0,0
196,Karanganyar,Modung,45631,11,25,0,0,1,1,2,0,0,0,0,0,0,0
197,Manggaan,Modung,8,15,30,0,0,1,1,0,1,1,2,0,1,0,969
198,Glisgis,Modung,3,15,30,0,0,1,1,0,0,0,0,0,0,0,0
199,Pakong,Modung,1,22,30,0,0,1,1,2,0,0,0,0,0,0,0
200,Alaskokon,Modung,3,22,1,0,0,1,1,1,0,0,0,0,0,0,0
201,Junganyar,Socah,0,2,9,0,0,1,1,1,0,0,0,0,0,0,0
202,Socah,Socah,1,1,5,0,1,1,1,2,0,0,0,0,0,0,0
203,Buluh,Socah,5,2,8,0,0,1,1,0,0,0,0,0,0,0,0
204,Jaddih,Socah,8,3,7,0,0,1,1,3,1,2,4,25000,4,0,4767
205,Sanggra Agung,Socah,6,7,12,0,0,1,1,3,0,0,0,0,0,0,0
206,Parseh,Socah,6,9,12,0,0,1,1,3,1,1,3,20000,4,0,1003
207,Bilaporah,Socah,10,4,3,0,0,1,1,2,0,0,0,0,0,0,0
208,Keleyan,Socah,6,2,5,0,0,1,1,2,0,0,0,0,0,0,0
209,Petaonan,Socah,4,2,6,0,0,1,1,1,0,0,0,0,0,0,0
210,Dakiring,Socah,3,4,11,0,0,1,1,0,0,0,0,0,0,0,0
211,Pernajuh,Socah,0,5,10,0,0,1,1,1,1,1,2,3000,3,0,1606
212,Pacentan,Tanah Merah,45327,6,15,0,0,1,1,0,0,0,0,0,0,0,0
213,Baipajung,Tanah Merah,45295,3,19,0,0,1,1,0,0,0,0,0,0,0,0
214,Tanah Merah Laok,Tanah Merah,4,2,19,0,0,1,1,0,1,1,1,20000,1,0,626016
215,Kranggan Barat,Tanah Merah,45325,3,20,0,0,1,1,0,0,0,0,0,0,0,0
216,Pangeleyan,Tanah Merah,0,2,17,0,0,1,1,0,0,0,0,0,0,0,0
217,Padurungan,Tanah Merah,1,2,17,0,0,1,1,2,0,0,0,0,0,0,0
218,Petrah,Tanah Merah,4,1,16,0,0,1,1,1,0,0,0,0,0,0,0
219,Tanah Merah Daya,Tanah Merah,3,1,15,0,0,1,1,3,0,0,0,0,0,0,0
220,Dumajah,Tanah Merah,3,3,14,0,0,1,1,0,0,0,0,0,0,0,0
221,Patemon,Tanah Merah,0,4,10,0,0,1,1,1,1,1,3,12000,4,0,978
222,Tlomar,Tanah Merah,2,4,15,0,0,1,1,0,0,0,0,0,0,0,0
223,Kendaban,Tanah Merah,2,3,16,0,0,1,1,0,0,0,0,0,0,0,0
224,Jangkar,Tanah Merah,4,3,22,0,0,1,1,0,0,0,0,0,0,0,0
225,Pettong,Tanah Merah,4,8,21,0,0,1,1,0,0,0,0,0,0,0,0
226,Landak,Tanah Merah,2,10,29,0,0,1,1,0,0,0,0,0,0,0,0
227,Rongdurin,Tanah Merah,1,6,23,0,0,1,1,0,0,0,0,0,0,0,0
228,Batangan,Tanah Merah,5,11,15,0,0,1,1,0,0,0,0,0,0,0,0
229,Dlambah Dajah,Tanah Merah,3,9,16,0,0,1,1,0,0,0,0,0,0,0,0
230,Dlamba Laok,Tanah Merah,1,9,15,0,0,1,1,0,0,0,0,0,0,0,0
231,Mrecah,Tanah Merah,2,5,12,0,0,1,1,0,0,0,0,0,0,0,0
232,Buddan,Tanah Merah,2,8,10,0,0,1,1,1,0,0,0,0,0,0,0
233,Poter,Tanah Merah,1,6,12,0,0,1,1,2,0,0,0,0,0,0,0
234,Basanah,Tanah Merah,0,5,12,0,0,1,1,0,0,0,0,0,0,0,0
235,Planggiran,Tanjung Bumi,7,5,45,0,0,1,1,0,0,0,0,0,0,0,0
236,Tagungguh,Tanjung Bumi,10,10,46,0,0,1,1,0,0,0,0,0,0,0,0
237,Bandang Daya,Tanjung Bumi,6,13,43,0,0,1,1,0,0,0,0,0,0,0,0
238,Bungkeng,Tanjung Bumi,45630,10,48,0,0,1,1,0,0,0,0,0,0,0,0
239,Larangan Timur,Tanjung Bumi,45300,11,42,0,0,1,1,0,0,0,0,0,0,0,0
240,Tambak Pocok,Tanjung Bumi,5,10,50,0,0,1,1,0,0,0,0,0,0,0,0
241,Bumi Anyar,Tanjung Bumi,5,15,48,0,0,1,1,6,0,0,0,0,0,0,0
242,Paseseh,Tanjung Bumi,2,2,36,0,0,1,1,2,0,0,0,0,0,0,0
243,Telaga Biru,Tanjung Bumi,0,3,37,0,0,1,1,3,0,0,0,0,0,0,0
244,Tanjung Bumi,Tanjung Bumi,3,1,38,0,0,1,1,1,0,1,2,0,1,0,2322
245,Macajah,Tanjung Bumi,4,4,44,0,0,1,1,3,1,1,1,10000,3,0,11499
246,Tlangoh,Tanjung Bumi,4,8,48,0,0,1,1,0,0,0,0,0,0,0,0
247,Banyu Sangkah,Tanjung Bumi,7,10,48,0,0,1,1,0,0,0,0,0,0,0,0
248,Aengtabar,Tanjung Bumi,10,10,43,0,0,1,1,0,0,0,0,0,0,0,0
249,Alang Alang,Tragah,2,2,13,0,0,1,1,2,0,0,0,0,0,0,0
250,Kemoneng,Tragah,45323,3,11,0,0,1,1,0,0,0,0,0,0,0,0
251,Soket Laok,Tragah,7,1,14,0,0,1,1,2,0,0,0,0,0,0,0
252,Bajeman,Tragah,4,3,17,0,0,1,1,1,0,0,0,0,0,0,0
253,Tambin,Tragah,2,2,13,0,0,1,1,0,0,0,0,0,0,0,0
254,Soket Daya,Tragah,45384,1,14,0,0,1,1,1,0,0,0,0,0,0,0
255,Keteleng,Tragah,1,1,13,0,0,1,1,0,0,0,0,0,0,0,0
256,Ja'ah,Tragah,1,3,12,0,0,1,1,0,0,0,0,0,0,0,0
257,Bancang,Tragah,0,3,12,0,0,1,1,0,0,0,0,0,0,0,0
258,Masaran,Tragah,4,2,12,0,0,1,1,0,0,0,0,0,0,0,0
259,Pacangan,Tragah,45292,4,12,0,0,1,1,1,0,0,0,0,0,0,0
260,Pocong,Tragah,1,2,10,0,0,1,1,0,1,1,3,8000,3,0,626016
261,Tragah,Tragah,4,2,10,0,0,1,1,0,0,0,0,0,0,0,0
262,Karang Leman,Tragah,4,1,12,0,0,1,1,0,0,0,0,0,0,0,0
263,Dukotambin,Tragah,2,1,13,0,0,1,1,0,0,0,0,0,0,0,0
264,Jaddung,Tragah,1,2,10,0,0,1,1,0,0,0,0,0,0,0,0
265,Banyu Bese,Tragah,5,2,15,0,0,1,1,1,0,0,0,0,0,0,0
266,Pamorah,Tragah,3,3,9,0,0,1,1,0,0,0,0,0,0,0,0
267,Bepelle,Robatal,5,8,19,0,0,1,1,0,0,0,0,0,0,0,0
268,Lepelle,Robatal,10,5,31,0,0,1,1,0,0,0,0,0,0,0,0
269,Robatal,Robatal,45605,4,30,0,0,1,1,0,0,0,0,0,0,0,0
270,Sawah tengah,Robatal,5,6,20,0,0,1,1,0,0,0,0,0,0,0,0
271,Torjunan,Robatal,7,2,24,0,0,1,1,1,0,0,0,0,0,0,0
272,Tragih,Robatal,0,2,27,0,0,1,1,2,0,0,0,0,0,0,0
273,Jelgung,Robatal,8,1,27,0,0,1,1,2,0,0,0,0,0,0,0
274,Gunung Rancak,Robatal,45486,7,33,0,0,1,1,3,0,0,0,0,0,0,0
275,Pandiyangan,Robatal,13,3,29,0,0,1,1,0,0,0,0,0,0,0,0
276,P.Mandangin,Sampang,1,18,17,38,2,1,1,0,1,2,4,25000,1,3,9539
277,Aeng Sareh,Sampang,5,8,6,1,0,1,1,0,0,0,0,0,0,0,0
278,Polagan,Sampang,6,2,2,1,3,1,1,0,1,3,3,2000,4,0,9539
279,Banyuanyar,Sampang,2,5,4,1,2,1,1,1,1,2,4,40000,5,0,1999
280,Gng Maddah,Sampang,9,5,5,0,1,1,1,0,1,1,3,0,1,0,1512
281,Rong Tengah,Sampang,1,2,1,1,8,1,1,0,1,8,3,20000,5,0,2532
282,Karang Dalem,Sampang,2,1,1,1,2,1,1,0,1,2,4,25000,4,0,1999
283,Gunung Sekar,Sampang,4,1,1,1,6,1,1,1,1,6,1,25000,5,0,8496
284,Dalpenang,Sampang,45597,1,1,1,2,1,1,0,1,2,5,35000,4,0,9539
285,Paseyan,Sampang,2,3,3,0,0,1,1,1,0,0,0,0,0,0,0
286,Panggung,Sampang,4,6,6,0,0,1,1,2,0,0,0,0,0,0,0
287,Baruh,Sampang,3,8,7,0,0,1,1,2,0,0,0,0,0,0,0
288,Taman Sareh,Sampang,5,7,7,0,0,1,1,1,0,0,0,0,0,0,0
289,Pakalongan,Sampang,4,9,9,0,0,1,1,4,0,0,0,0,0,0,0
290,Tanggumong,Sampang,3,1,1,1,0,1,1,3,0,0,0,0,0,0,0
291,Kamoning,Sampang,2,6,6,6,0,1,1,1,0,0,0,0,0,0,0
292,Banyumas,Sampang,4,8,8,0,0,1,1,1,0,0,0,0,0,0,0
293,Pangelen,Sampang,5,9,9,0,0,1,1,2,0,0,0,0,0,0,0
294,Tobai Barat,Sokobanah,9,18,47,0,0,1,1,5,0,0,0,0,0,0,0
295,Tobai Tengah,Sokobanah,8,11,51,0,0,1,1,4,0,0,0,0,0,0,0
296,Tobai Timur,Sokobanah,45549,9,44,0,0,1,1,2,0,0,0,0,0,0,0
297,Bira Tengah,Sokobanah,11,6,61,0,2,1,1,1,1,2,4,15000,4,0,1512
298,Bira Timur,Sokobanah,10,8,62,0,1,1,1,0,1,1,3,2000,4,2,11180
299,Sokobanah Laok,Sokobanah,10,8,55,0,0,1,1,0,0,0,0,0,0,0,0
300,Tamberu Laok,Sokobanah,45329,15,62,0,0,1,1,0,0,0,0,0,0,0,0
301,Tamberu Daya,Sokobanah,11,11,66,0,1,1,1,1,1,1,4,0,5,0,9539
302,Sokobanah Tengah,Sokobanah,12,6,67,0,0,1,1,0,0,0,0,0,0,0,0
303,Sokobanah Daya,Sokobanah,7,2,59,0,0,1,1,0,0,0,0,0,0,0,0
304,Tamberu Barat,Sokobanah,45509,3,62,0,1,1,1,0,1,1,3,0,1,0,3447
305,Tamberu Timur,Sokobanah,0,5,67,0,0,1,1,2,0,0,0,0,0,0,0
306,Noreh,Sreseh,8,2,35,0,0,1,1,0,0,0,0,0,0,0,0
307,Labuhan,Sreseh,45515,1,37,0,0,1,1,0,0,0,0,0,0,0,0
