No,Desa/Kelurahan,Kecamatan,Luas total area,Jarak ke ibu kota kecamatan ,Jarak ke ibu kota kabupaten ,Akomodasi. hotel. homestay,Restourant/Tempat makan,Jenis prasarana trasportasi,Jenis permukaan  jalan darat,Jumlah Menara Telepon Seluler,Media Online,Pantai/Danau,Failitas,Harga Tiket,Rating,Wisman,Wisnus
70,Pakaandaya,Galis,1.59,3,28,0,1,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
71,Longkek,Galis,5.13,3,27,0,0,Darat,Aspal/Beton,3,Tidak Ada,0,0,0,0,0,0
72,Banyubunih,Galis,9.83,3,25,0,1,Darat,Aspal/Beton,0,Ada,1,4,2.000,4,0,1.217
73,Daleman,Galis,7.99,5,36,0,0,Darat,Aspal/Beton,2,Ada,1,2,5.000,4,0,979
74,Tellok,Galis,9.55,9,36,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
75,Belateran,Galis,2.37,9,38,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
76,Kelbung,Galis,12.86,12,37,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
77,Telagah,Galis,7.16,11,33,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
78,Lantek Temor,Galis,5.52,6,27,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
79,Lantek Barat,Galis,9.22,7,32,0,1,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
80,Banjar,Galis,10.24,11,30,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
81,Bangpendah,Galis,2.22,9,34,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
82,Sadah,Galis,4.41,14,28,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
83,Sorpa,Galis,1.44,15,30,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
84,Togubang,Geger,12.21,2,38,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
85,Lerpak,Geger,14.82,21,45,0,0,Darat,Diperkeras (kerikil. batu. dll),1,Tidak Ada,0,0,0,0,0,0
86,Geger,Geger,17.20,10,39,0,0,Darat,Aspal/Beton,2,Ada,2,2,10.000,4,0,3.236
87,Batobella,Geger,8.62,5,24,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
88,Tegerpriyah,Geger,3.66,4,24,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
89,Campor,Geger,6.93,1,17,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
90,Kompol,Geger,4.44,2,25,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
91,Kampak,Geger,10.98,3,27,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
92,Kombangan,Geger,11.53,5,35,0,0,Darat,Aspal/Beton,4,Tidak Ada,0,0,0,0,0,0
93,Dabung,Geger,10.62,14,30,0,0,Darat,Diperkeras (kerikil. batu. dll),1,Tidak Ada,0,0,0,0,0,0
94,Katol Barat,Geger,7.33,8,45,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
95,Banyoneng Laok,Geger,"45.393,00",9,45,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
96,Banyoneng Dajah,Geger,5.28,7,35,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
97,Tajungan,Kamal,0.08,2,18,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
98,Gili Barat,Kamal,4.80,1,18,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
99,Banyu Ajuh,Kamal,"45.600,00",1,18,0,2,Darat,Aspal/Beton,4,Tidak Ada,0,0,0,0,0,0
100,Kamal,Kamal,1.14,3,18,1,2,Darat,Aspal/Beton,3,Ada,1,4,15.000,4,0,2.301
101,Tanjung Jati,Kamal,0.40,3,18,0,1,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
102,Kebun,Kamal,3.37,2,18,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
