No,Desa/Kelurahan,Kecamatan,Luas total area,Jarak ke ibu kota kecamatan ,Jarak ke ibu kota kabupaten ,Akomodasi. hotel. homestay,Restourant/Tempat makan,Jenis prasarana trasportasi,Jenis permukaan  jalan darat,Jumlah Menara Telepon Seluler,Media Online,Pantai/Danau,Failitas,Harga Tiket,Rating,Wisman,Wisnus
117,244,13,3,4,33,0,0,1,1,2,0,0,0,0,0,0,0
118,224,13,1,3,27,0,0,1,1,4,0,0,0,0,0,0,0
119,414,13,4,3,25,0,0,1,1,4,0,0,0,0,0,0,0
120,86,13,7,7,17,0,0,1,1,2,0,0,0,0,0,0,0
121,434,13,1,3,15,0,0,1,1,1,0,0,0,0,0,0,0
122,200,13,1,5,15,0,0,1,1,1,0,0,0,0,0,0,0
123,421,13,1,7,21,0,0,1,1,2,0,0,0,0,0,0,0
124,257,13,2,3,13,0,0,1,1,1,0,0,0,0,0,0,0
125,85,13,5,2,17,0,0,1,1,3,0,0,0,0,0,0,0
126,58,13,2,1,25,0,5,1,1,2,1,1,3,2000,3,0,1892
127,196,13,0,1,18,0,1,1,1,0,0,0,0,0,0,0,0
128,197,13,0,1,24,0,0,1,1,0,0,0,0,0,0,0,0
129,226,14,4,8,52,0,0,1,1,0,0,0,0,0,0,0,0
130,6,14,5,10,60,0,0,1,1,0,0,0,0,0,0,0,0
131,202,14,8,9,59,0,0,1,1,0,0,0,0,0,0,0,0
132,419,14,13,14,64,0,0,1,1,1,0,0,0,0,0,0,0
133,114,14,18,23,73,0,0,1,1,1,1,1,3,7000,3,0,969
134,243,14,9,17,52,0,0,1,1,3,0,0,0,0,0,0,0
135,240,14,13,14,64,0,0,1,1,3,0,0,0,0,0,0,0
136,26,14,12,4,54,0,0,1,1,0,0,0,0,0,0,0,0
137,432,14,45301,5,55,0,0,1,1,1,0,0,0,0,0,0,0
138,179,14,11,7,57,0,0,1,1,1,0,0,0,0,0,0,0
139,24,14,4,2,52,0,0,1,1,0,0,0,0,0,0,0,0
140,111,14,10,1,50,0,0,1,1,3,0,0,0,0,0,0,0
141,56,14,3,4,50,0,0,1,1,0,0,0,0,0,0,0,0
142,117,15,3,14,36,0,0,1,1,0,0,0,0,0,0,0,0
143,112,15,6,12,42,0,0,1,1,0,0,0,0,0,0,0,0
144,159,15,45324,14,38,0,0,1,1,0,0,0,0,0,0,0,0
145,55,15,45546,20,48,0,0,1,1,1,0,0,0,0,0,0,0
146,113,15,20,10,36,0,0,1,1,2,0,0,0,0,0,0,0
147,282,15,5,3,40,0,0,1,1,1,0,0,0,0,0,0,0
148,27,15,6,1,56,0,0,1,1,2,0,0,0,0,0,0,0
149,207,15,7,1,47,0,0,1,1,0,0,0,0,0,0,0,0
150,362,15,4,5,60,0,0,1,1,0,0,0,0,0,0,0,0
151,94,15,1,4,50,0,0,1,1,2,0,0,0,0,0,0,0
152,357,15,45415,8,57,0,0,1,1,0,0,0,0,0,0,0,0
153,95,15,5,13,59,0,0,1,1,1,0,0,0,0,0,0,0
154,120,15,13,8,59,0,0,1,1,1,1,1,2,10000,3,0,2301
155,407,16,2,5,19,0,0,1,1,1,0,0,0,0,0,0,0
156,213,16,2,1,22,0,0,1,1,0,1,1,4,20000,3,0,1538
157,310,16,3,1,23,0,0,1,1,1,0,0,0,0,0,0,0
158,175,16,1,4,18,0,0,1,1,0,0,0,0,0,0,0,0
159,49,16,1,6,22,0,0,1,1,2,0,0,0,0,0,0,0
160,50,16,3,6,2,0,0,1,1,0,0,0,0,0,0,0,0
161,115,16,3,6,27,0,0,1,1,2,0,0,0,0,0,0,0
162,290,16,2,6,25,0,0,1,1,1,0,0,0,0,0,0,0
163,167,16,2,4,17,0,0,1,1,1,0,0,0,0,0,0,0
